,-4,-3,-2,-1,0,1,2,3,4
Total Debt,-0.116573986894003,0.0357575027068248,0.171572015194175,0.28011268356418,0.370715151439494,0.45217409692921,0.523023577283479,0.554152178848519,0.512246671376558
 (s.e.),0.0183959932225964,0.0196485203710689,0.0195882948208927,0.0183733741213102,0.0160989830440301,0.0129314568081995,0.0100314777608494,0.0097470044081081,0.0119539836534351
 (p-val.),8.5883635267111e-05,0.00839446211248014,1.78286458284673e-07,4.88468279654651e-16,4.16315016444763e-23,3.05802123426651e-32,4.55250457563782e-41,4.20307634161082e-43,6.21281662788478e-37
Short Term Loans,-0.0861029204614259,-0.149132413112462,-0.214024095243482,-0.245414649281307,-0.216190859399961,-0.123711615754599,0.00109363009407235,0.116919353759635,0.191047203164157
 (s.e.),0.0188675225513556,0.0167028328413903,0.015718498260557,0.0166825364782088,0.0193365400794753,0.0228804187688672,0.0260446003764712,0.0273448825211533,0.0262507618589482
 (p-val.),0.00411065324845644,2.04388091276447e-05,8.30773506383655e-11,6.21710897422544e-13,1.6002769859721e-11,1.43990844374715e-08,0.00109280727268192,6.7891272263137e-05,5.79794944074687e-08
Long Term Loans,-0.108622281419842,0.0522112352767724,0.196641240701713,0.309970315407499,0.398637267872905,0.47114638824004,0.529315739396295,0.548193620175378,0.497689503224547
 (s.e.),0.0187597721971553,0.0198759517586226,0.0195863479219641,0.0180566787229083,0.015494544002528,0.0122571826762916,0.00964295125175206,0.00982884547639563,0.0122033010517272
 (p-val.),0.000127818641509408,0.00785159672519985,2.03588467291632e-09,2.15682325689811e-18,1.38171514972841e-25,2.40345724925744e-34,3.46215323779643e-42,1.16305729005489e-42,8.4965744598479e-36
Total Deposits,-0.249907710753576,-0.255845583018858,-0.206895242367104,-0.105692040411325,0.0238752924204873,0.142909036917845,0.216995451106084,0.233502827767214,0.205635043451866
 (s.e.),0.013669584301455,0.0130151247512022,0.0138087001389334,0.0168469932526361,0.0210423684120536,0.0243075329286182,0.0255483633421188,0.0245780399459889,0.0220300653629218
 (p-val.),2.02479256456673e-16,1.05342421775348e-17,9.09476301974805e-13,0.000159191736068157,0.0124992429796911,1.64376935769229e-06,2.55034071833152e-09,1.01919226892254e-10,2.6288638744539e-10
Firms Debt Rate,-0.0877898558101971,0.0069121499254932,0.0854470309619536,0.160474035119617,0.250145496976425,0.353851247190418,0.448886951482439,0.493456245621929,0.454827824043267
 (s.e.),0.0195567587037283,0.0195388163106582,0.019043049367969,0.0189991260703706,0.0185186884051144,0.0165057642981642,0.0138373804403396,0.0126419597965143,0.0137629937846602
 (p-val.),0.00211590421503949,0.00863705934972286,0.00235333713301796,1.53064167504724e-06,4.12329022628701e-14,1.5553895370375e-21,1.04484226842973e-30,7.24707874481273e-35,3.86346610840584e-31
Class Debt Rate,0.0168089177884123,-0.0922428993365958,-0.214215312019519,-0.325218764364789,-0.396944691999949,-0.404579539512502,-0.347069774027586,-0.241864778342539,-0.119734595479114
 (s.e.),0.0324802063367555,0.0353014083434483,0.0354331675367097,0.0319704880129887,0.0249316753914209,0.0175574692815054,0.0189639052580626,0.0285067897374472,0.0372926242685099
 (p-val.),3.84920284604031e-07,1.14608570071942e-05,2.23158612556164e-06,2.12740558592925e-10,4.27937673635391e-18,7.96912269839374e-26,3.5646817713657e-20,1.35520286256214e-10,4.06326102931853e-11
Financial Sector Leverage,0.0834676916188594,0.205846404737681,0.277343138303021,0.292098790657111,0.273682254411002,0.254333521404731,0.256702164897982,0.267546076869986,0.25307099190845
 (s.e.),0.0167830059899658,0.0171382891170556,0.0170815144819378,0.0177550133987907,0.0186569852910943,0.0184781655170022,0.0171931985663403,0.0161289467095987,0.0159955935620873
 (p-val.),0.00598282059447741,2.35014221216059e-09,2.24281254352259e-15,4.99996463491251e-17,2.56450697990024e-15,9.96765423954494e-14,1.42775027253126e-13,2.37419061894958e-15,3.26245835140785e-14
Financial Sector Profits,-0.05083585912288,0.0669190984439108,0.196980018331061,0.286960535022203,0.299495664074306,0.235029813144635,0.137106791142715,0.0549101734955223,0.0110033042109512
 (s.e.),0.013537384732855,0.0136759873080932,0.0136234145933355,0.0137985146115461,0.0146331574767862,0.0154161790674695,0.0155142846919888,0.0149363038363877,0.0140202492906166
 (p-val.),0.366332383673282,0.10373382255194,8.74857367195175e-11,1.37288660588664e-19,1.25428988638189e-19,4.38789829862154e-13,2.43717092018804e-05,0.133292908469502,0.899082135491354
Financial Sector Default Rate,0.0270051698327988,-0.0800579303262693,-0.201207491377933,-0.282125419020948,-0.282355552563935,-0.201202398430661,-0.0847813664424934,0.0118455534930939,0.0610183696277253
 (s.e.),0.0136355472932973,0.0134226418519216,0.0133123234986245,0.0137428333862022,0.014783456840518,0.0156282236327805,0.015546252408545,0.0143997007401676,0.012745101098387
 (p-val.),0.834895241603583,0.01485315034148,5.51969866954428e-12,3.10043699525516e-19,5.09882894830194e-18,9.35810713130998e-10,0.00490738603302637,0.759701857216858,0.710082146810118
Share of Ponzi Firms,-0.0742055638125055,-0.0501687841029383,-0.0439539193834503,-0.0582257505781046,-0.0688965703421212,-0.0478178485553526,0.00529521340413927,0.0650490774477964,0.102492042682595
 (s.e.),0.0117840165657687,0.0133624383402673,0.0153933135350776,0.0160312438100827,0.0148080312117211,0.013110267392449,0.0124458740740616,0.0120842021011775,0.0110135894835424
 (p-val.),0.309804281040276,0.741608314362338,0.518762548138627,0.211703900722616,0.185067247412611,0.827653807831953,0.98967929262938,0.503484046219914,0.0392297332819913
Share of Speculative Firms,-0.149657829574282,-0.179197859394807,-0.212968118628333,-0.239010629476663,-0.236304187463909,-0.186374610947883,-0.0857005525558292,0.044456352509988,0.16576927733852
 (s.e.),0.0143556331824257,0.0130823536485943,0.0123262934810536,0.0130318915221886,0.0147029234461113,0.015655382284087,0.0152074693473927,0.0138465024434417,0.0128306054299325
 (p-val.),1.61599466587523e-06,4.95033439393931e-10,5.80043445886637e-14,5.56728062094898e-16,6.98316847740002e-14,2.39765332566023e-08,0.0100082186184095,0.5200484650216,5.14211423337864e-08
Share of Hedge Firms,0.156838948556359,0.18454181912342,0.21786362639932,0.245119272648509,0.243232719777953,0.191297385315092,0.0857223774888895,-0.0500555614667893,-0.175157618807301
 (s.e.),0.0141088138541373,0.0126174526634874,0.0117622607126181,0.0126640119782654,0.0146083726684041,0.0156844805705429,0.0152607902721648,0.0139333425955227,0.0128947809860899
 (p-val.),1.18238781085427e-06,2.24645516259076e-10,3.09365354075662e-15,4.51816240944934e-17,1.19346610125e-14,6.56811841190759e-09,0.0103428882776548,0.431523098146641,6.11231272428622e-09
