,Short Term Loans,Long Term Loans,Total Loans,Total Deposits,Financial Sector I.HHI,Financial Sector Leverage,Financial Sector Short Term Rate,Financial Sector Default Rate,Share of Ponzi Firms,Share of Speculative Firms,Share of Hedge Firms,C. Sector Debt Rate,K. Sector Debt Rate,I. Sector Debt Rate,Class A Debt Rate,Class B Debt Rate,Class C Debt Rate,Avg. Firms Debt Rate,Avg. Class Debt Rate
avg. growth rate,0.01360979024122,0,0.031543501617776,0.023522121774688,0.0005180373492492,5.173197662278,0.10873982488502,0.001021498929238,0.0026407640036,0.5568350314464,0.44052420455,0.287236076636,0.267041379012,0.264521360084,0.19876768435584,0.31161713161,0.341917748098,0.275368168762,0.2589972924708
 (s.e.),0.00896077790864977,0,0.00498897919235282,0.00539667241069456,0.000115372520440389,0.375388159135664,0.00489299717353321,0.000282603486468848,0.000585587265380376,0.015569006608236,0.0153613555244319,0.00724036441687643,0.00617481086658904,0.00873664845476193,0.0245612394866524,0.0165246884509575,0.00997176895318885,0.00572807292599818,0.0162408382796589
ADF test (logs),-7.18957253382051,-8.78379300815851,-8.74255196597464,-7.80354587535318,-2.46058095768668,-2.96176232739235,-3.57724057405268,-6.75782828011978,-7.27965409423793,-3.25140576902351,-3.2772560168394,-6.88473577788645,-6.48479166455426,-6.9588710801559,NA,-7.66756739799654,-7.99621511712269,-7.56765688342828,-3.43386635364089
 (s.e.),0.134942947113187,0.109616977916783,0.111248290120959,0.197160279212105,0.0980164994893173,0.207648457351403,0.221486454588094,0.0853493508503858,0.113158864657182,0.102211514764912,0.103035935548422,0.109244576855869,0.142906048849716,0.112211272959761,NA,0.379103826211225,0.246791253692813,0.135090532793866,0.451463800148664
 (p-val.),0.01,0.01,0.01,0.0102368810142577,0.396291255358059,0.296505136144396,0.234422536365659,0.01,0.01,0.161062810449837,0.157516654139134,0.0104453529232285,0.0102490190864,0.01,NA,0.0845501758134051,0.0352209065769687,0.01,0.423464278375355
 (s.e.),0,0,0,0.000236881014257732,0.036975317174271,0.0495072080912014,0.039073165949792,0,0,0.0277579542527719,0.0272165250821338,0.000445352923228515,0.000249019086400023,0,NA,0.0292661684747945,0.0176555149993712,0,0.051489970777696
 s.d. (bpf),0.0340539119808305,0.0326974171859008,0.0293579618580344,0.0288616033676819,7.97365619161867e-05,0.182533970473591,0.00417239733229615,0.00130984639511982,0.00188341041844848,0.019300443010644,0.0192728678089348,0.0480851871662573,0.0211002348144789,0.0425985460151082,0.006971634392425,0.00176418457409616,0.00109867946864537,0.0318172814025979,0.00427807559175371
 (s.e.),0.000549359421285919,0.000101360950341137,8.95698617960908e-05,0.000181404024194577,1.1555905676629e-06,0.00151171646354442,1.46726454847695e-05,4.7224476800971e-06,1.13447270726483e-05,2.9139740889313e-05,2.89597509650687e-05,0.00023721347453447,7.95147291866285e-05,0.000342253224095329,9.86144716032257e-05,4.78303653250121e-05,3.19810274354689e-05,0.000149324481851989,4.68583894306551e-05
 relative s.d. (GDP),2.47991398911878,2.38112973138043,2.13793999187929,2.10179359070999,0.00580666959647683,13.292703261865,0.303847220793537,0.0953871731589299,0.13715592636146,1.40551953752711,1.4035114237894,3.5017159963919,1.53658609088944,3.10216136808169,0.507696550884626,0.128473521842406,0.0800093271335456,2.31703544927371,0.311543047167965
